State_Name           ,Name                                                                            ,Address                                                    ,Contact
washington           ,The Center For Alcohol and Drug Treatment                                       ,"327 Okanogan Avenue
                                                                                                       Wenatchee, WA 98801"                                       ,509-662-9673
washington           ,The Center A Place of HOPE                                                      ,"547 Dayton Street
                                                                                                       Edmonds, WA 98020"                                         ,888-771-5166
washington           ,Key Recovery and Life Skills Center                                             ,"10344 14th Avenue South
                                                                                                       Seattle, WA 98168"                                         ,206-767-0244
washington           ,Spokane Addiction Recovery Centers Outpatient Services                          ,"1508 West 6th Avenue
                                                                                                       Spokane, WA 99204"                                         ,509-624-5228
washington           ,The Recovery Village Ridgefield                                                 ,"888 Hillhurst Road
                                                                                                       Ridgefield, WA 98642"                                      ,360-857-0007
washington           ,Lakeside Milam Recovery Centers Outpatient Tacoma                               ,"3315 South 23rd Street Suite 102
                                                                                                       Tacoma, WA 98405"                                          ,253-272-2242
washington           ,Royal Life Centers at Spokane Heights                                           ,"524 East Francis Avenue
                                                                                                       Spokane, WA 99208"                                         ,877-732-6837
washington           ,Northpoint Seattle                                                              ,"2111 North Northgate Way Suite 101
                                                                                                       Seattle, WA 98133"                                         ,425-629-0433
washington           ,Free by the Sea                                                                 ,"25517 Park Avenue
                                                                                                       Ocean Park, WA 98640"                                      ,(360) 777-7050
washington           ,Comprehensive Healthcare Yakima Center                                          ,"402 South 4th Avenue
                                                                                                       Yakima, WA 98902"                                          ,509-575-4084
washington           ,Olalla Recovery Centers Olalla Guest Lodge                                      ,"12850 Lala Cove Lane Southeast
                                                                                                       Olalla, WA 98359"                                          ,800-882-6201
washington           ,Sundown M Ranch                                                                 ,"2280 State Route 821
                                                                                                       Yakima, WA 98901"                                          ,800-326-7444
washington           ,Bayview Recovery                                                                ,"2156 Pacific Ave
                                                                                                       Tacoma, WA 98402"                                          ,855-478-3650
washington           ,VA Puget Sound Health Care System Seattle VA Medical Center                     ,"1660 South Columbian Way
                                                                                                       Seattle, WA 98108"                                         ,206-764-2007
washington           ,Barth Clinic Ellensburg                                                         ,"2411 West Dolarway Road Suite 1
                                                                                                       Ellensburg, WA 98926"                                      ,509-925-7867
washington           ,VA Puget Sound Health Care System – Tacoma                                      ,"9600 Veterans Dr SW
                                                                                                       Tacoma, WA 98498"                                          ,253-582-8440
