State_Name ,Name                                                                                       ,Address                                 ,Contact
California ,Malibu Detox and Residential Treatment Center                                              ,"22766 Saddle Peak Road
                                                                                                        Topanga, CA 90290"                      ,424-234-2027
California ,Restore Detox Centers                                                                      ,"14099 Sky Mountain Trail
                                                                                                        Poway, CA 92064"                        ,858-293-1972
California ,Dignity Health Northridge Hospital Medical Center Behavioral Health Services               ,"18300 Roscoe Boulevard
                                                                                                        Northridge, CA 91335"                   ,855-398-9127
California ,Essential Behavioral Health                                                                ,"8950 Cal Center Dr #165
                                                                                                        Sacramento, CA 95826"                   ,530-564-3786
California ,Hazelden Betty Ford | Rancho Mirage                                                        ,"39407 Vista Del Sol
                                                                                                        Rancho Mirage, CA 92270"                ,877-502-3218
California ,VA San Diego Healthcare System Sorrento Valley CBOC                                        ,"10455 Sorrento Valley Road
                                                                                                        San Diego, CA 92121"                    ,858-552-7475
California ,California Highlands Addiction Treatment                                                   ,"15986 Highland Springs Avenue
                                                                                                        Banning, CA 92220"                      ,951-402-2075
California ,Soledad House                                                                              ,"810 Emerald Street
                                                                                                        San Diego, CA 92109"                    ,866-314-3181
California ,Laguna Treatment Hospital Alcohol and Drug Rehab                                           ,"24552 Pacific Park Drive
                                                                                                        Aliso Viejo, CA 92656"                  ,949-894-4966
California ,Dedicato Treatment Center Outpatient                                                       ,"133 North Altadena Drive Suite 430
                                                                                                        Pasadena, CA 91107"                     ,626-921-0113
California ,Hotel California by the Sea                                                                ,"2811 Villa Way
                                                                                                        Newport Beach, CA 92663"                ,949-203-5654
California ,Kaiser Permanente Union City Medical Offices                                               ,"3551 Whipple Road
                                                                                                        Union City, CA 94587"                   ,510-675-4010
California ,Cornerstone of Southern California                                                         ,"1950 17th Street Suite 150
                                                                                                        Santa Ana, CA 92706"                    ,714-547-5375
California ,Diablo Valley Drug and Alcohol Services                                                    ,"100 Park Place Suite 120
                                                                                                        San Ramon, CA 94583"                    ,925-289-1430
California ,Resurgence Behavioral Health                                                               ,"3151 Airway Avenue
                                                                                                        Costa Mesa, CA 92626"                   ,855-458-0050
California ,New Life Recovery Centers                                                                  ,"782 Park Avenue Suite 1
                                                                                                        San Jose, CA 95126"                     ,408-297-1182
California ,Hollywood Hills Recovery                                                                   ,"6221 Holly Mont Dr.
                                                                                                        Los Angeles, CA 90068"                  ,323-746-1529
California ,Harmony Grove Recovery Inpatient                                                           ,"21734 Amble Dr
                                                                                                        Escondido, CA 92029"                    ,760-697-0497
California ,Windward Way Recovery                                                                      ,"3822 Campus Drive
                                                                                                        Newport Beach, CA 92660"                ,888-598-0043
California ,Cedar House Life Change Center                                                             ,"18612 Santa Ana Avenue
                                                                                                        Bloomington, CA 92316"                  ,909-421-7120
California ,The Discovery House                                                                        ,"6956 Bertand Avenue
                                                                                                        Reseda, CA 91335"                       ,818-452-1676
